molecule_chembl_id	pref_name	canonical_smiles	MW
CHEMBL57	NEVIRAPINE	Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1	266.30400000000003
CHEMBL465	DRONABINOL	CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21	314.46900000000005
CHEMBL58	MITOXANTRONE	O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21	444.4880000000002
CHEMBL61	PODOFILOX	COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC	414.41000000000025
CHEMBL468	THALIDOMIDE	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1	258.23299999999995
CHEMBL469	KETOROLAC	O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O	255.27299999999997
CHEMBL471	SOTALOL	CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1	272.37
CHEMBL472	GLYBURIDE	COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1	494.0130000000003
CHEMBL9225	HEXESTROL	CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1	270.37199999999996
CHEMBL473	DOFETILIDE	CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1	441.57500000000016
CHEMBL477	ADENOSINE	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	267.245
CHEMBL479	THIORIDAZINE	CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2	370.587
CHEMBL480	LANSOPRAZOLE	Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1	369.3680000000001
CHEMBL70	MORPHINE	CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5	285.343
CHEMBL485	CODEINE	COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341	299.3700000000001
CHEMBL71	CHLORPROMAZINE	CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21	318.8730000000001
CHEMBL72	DESIPRAMINE	CNCCCN1c2ccccc2CCc2ccccc21	266.388
CHEMBL488	AMINOGLUTETHIMIDE	CCC1(c2ccc(N)cc2)CCC(=O)NC1=O	232.28299999999996
CHEMBL76	CHLOROQUINE	CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12	319.88000000000005
CHEMBL490	PAROXETINE	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	329.3710000000001
CHEMBL416146	ETORICOXIB	Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1	358.8500000000001
CHEMBL79	LIDOCAINE	CCN(CC)CC(=O)Nc1c(C)cccc1C	234.343
CHEMBL492	ETIDOCAINE	CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C	276.42400000000004
CHEMBL80	NALOXONE	C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5	327.3800000000001
CHEMBL81	RALOXIFENE	O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12	473.5940000000001
CHEMBL83	TAMOXIFEN	CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1	371.524
CHEMBL494	ILOPROST	CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O	360.4940000000001
CHEMBL84	TOPOTECAN	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1	421.4530000000002
CHEMBL85	RISPERIDONE	Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2	410.4930000000003
CHEMBL428880	CROMOLYN	O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1	468.37000000000023
CHEMBL86	METOCLOPRAMIDE	CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC	299.8020000000001
CHEMBL495	ALPROSTADIL	CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O	354.48700000000014
CHEMBL496	HEXACHLOROPHENE	Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl	406.90700000000004
CHEMBL497	CLIOQUINOL	Oc1c(I)cc(Cl)c2cccnc12	305.502
CHEMBL10878	AGOMELATINE	COc1ccc2cccc(CCNC(C)=O)c2c1	243.30599999999995
CHEMBL88	CYCLOPHOSPHAMIDE ANHYDROUS	O=P1(N(CCCl)CCCl)NCCCO1	261.089
CHEMBL498	CHLORPROPAMIDE	CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1	276.745
CHEMBL499	TIMOLOL	CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1	316.4270000000002
CHEMBL500	PINDOLOL	CC(C)NCC(O)COc1cccc2[nH]ccc12	248.32600000000002
CHEMBL501	AMPHETAMINE SULFATE	CC(N)Cc1ccccc1.O=S(=O)(O)O	233.289
CHEMBL91	MICONAZOLE	Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1	416.1350000000001
CHEMBL93	ZILEUTON	CC(c1cc2ccccc2s1)N(O)C(N)=O	236.29599999999996
CHEMBL502	DONEPEZIL	COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2	379.50000000000017
CHEMBL503	LOVASTATIN	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21	404.54700000000025
CHEMBL11662	OZAGREL	O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1	228.251
CHEMBL505	CHLORPHENIRAMINE	CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1	274.795
CHEMBL506	PRIMAQUINE	COc1cc(NC(C)CCCN)c2ncccc2c1	259.35299999999995
CHEMBL509	MECLOFENAMIC ACID	Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl	296.153
CHEMBL511	PYRILAMINE	COc1ccc(CN(CCN(C)C)c2ccccn2)cc1	285.391
CHEMBL12713	SERTINDOLE	O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1	440.9500000000002
CHEMBL513	CARMUSTINE	O=NN(CCCl)C(=O)NCCCl	214.052
CHEMBL514	LOMUSTINE	O=NN(CCCl)C(=O)NC1CCCCC1	233.69899999999996
CHEMBL515	CHLORAMBUCIL	O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1	304.217
CHEMBL516	CYPROHEPTADINE	CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1	287.4060000000001
CHEMBL517	DISOPYRAMIDE	CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C	339.4830000000001
CHEMBL98	VORINOSTAT	O=C(CCCCCCC(=O)Nc1ccccc1)NO	264.32500000000005
CHEMBL521	IBUPROFEN	CC(C)Cc1ccc(C(C)C(=O)O)cc1	206.28499999999997
CHEMBL13376	CLOMETACIN	COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1	357.7930000000001
CHEMBL13280	FLUNITRAZEPAM	CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21	313.28800000000007
CHEMBL524	METHOXAMINE	COc1ccc(OC)c(C(O)C(C)N)c1	211.261
CHEMBL527	PIROXICAM	CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O	331.35300000000007
CHEMBL528	CEFTIZOXIME	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1	383.41100000000006
CHEMBL101	PHENYLBUTAZONE	CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O	308.3810000000001
CHEMBL530	AMDINOCILLIN	CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O	325.4339999999999
CHEMBL531	PERGOLIDE	CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21	314.4980000000001
CHEMBL533	IBUTILIDE	CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1	384.58600000000007
CHEMBL103	PROGESTERONE	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	314.46900000000005
CHEMBL534	KETOTIFEN	CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1	309.4340000000001
CHEMBL535	SUNITINIB	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C	398.48200000000014
CHEMBL104	CLOTRIMAZOLE	Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1	344.845
CHEMBL105	MITOMYCIN	CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12	334.33200000000005
CHEMBL546	OXPRENOLOL	C=CCOc1ccccc1OCC(O)CNC(C)C	265.35299999999995
CHEMBL106	FLUCONAZOLE	OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F	306.276
CHEMBL547	ISOTRETINOIN	CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1	300.44200000000006
CHEMBL14376	ILOPERIDONE	COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1	426.4880000000001
CHEMBL548	DINOPROSTONE	CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O	352.4710000000001
CHEMBL278020	NEOSTIGMINE	CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1	223.29599999999996
CHEMBL14370	REBOXETINE	CCOc1ccccc1OC(c1ccccc1)C1CNCCO1	313.39700000000005
CHEMBL549	CITALOPRAM	CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21	324.39900000000006
CHEMBL550	PILOCARPINE	CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C	208.261
CHEMBL107	COLCHICINE	COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2	399.4430000000002
CHEMBL553	ERLOTINIB	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	393.4430000000002
CHEMBL108	CARBAMAZEPINE	NC(=O)N1c2ccccc2C=Cc2ccccc21	236.274
CHEMBL277100	TEMAFLOXACIN	CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1	417.38700000000006
CHEMBL110	BENZNIDAZOLE	O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1	260.253
CHEMBL111	RIMONABANT	Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1	463.79600000000016
CHEMBL273575	NOMIFENSINE	CN1Cc2c(N)cccc2C(c2ccccc2)C1	238.334
CHEMBL561	LOMEFLOXACIN	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21	351.353
CHEMBL562	GRISEOFULVIN	COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O	352.7700000000001
CHEMBL563	FLURBIPROFEN	CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1	244.265
CHEMBL564	PROMAZINE	CN(C)CCCN1c2ccccc2Sc2ccccc21	284.42800000000005
CHEMBL565	CLOFIBRATE	CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1	242.702
CHEMBL567	PERPHENAZINE	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1	403.9790000000002
CHEMBL568	OXAZEPAM	O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O	286.718
